county,crime_rate
dallas,5000
dallas,5010
dallas,5020
dallas,5030
dallas,5040
dallas,5050
dallas,5060
dallas,5070
dallas,5080
dallas,5090
dallas,5100
dallas,5110
dallas,5120
dallas,5130
dallas,5140
dallas,5150
dallas,5160
dallas,5170
dallas,5180
dallas,5190
dallas,5200
dallas,5210
dallas,5220
dallas,5230
dallas,5240
dallas,5250
dallas,5260
dallas,5270
dallas,5280
dallas,5290
dallas,5300
dallas,5310
dallas,5320
dallas,5330
dallas,5340
dallas,5350
dallas,5360
dallas,5370
dallas,5380
dallas,5390
dallas,5400
dallas,5410
dallas,5420
dallas,5430
dallas,5440
dallas,5450
dallas,5460
dallas,5470
dallas,5480
dallas,5490
dallas,5500
dallas,5510
dallas,5520
dallas,5530
dallas,5540
dallas,5550
dallas,5560
dallas,5570
dallas,5580
dallas,5590
dallas,5600
dallas,5610
dallas,5620
dallas,5630
dallas,5640
dallas,5650
dallas,5660
dallas,5670
dallas,5680
dallas,5690
dallas,5700
dallas,5710
dallas,5720
dallas,5730
dallas,5740
dallas,5750
dallas,5760
dallas,5770
dallas,5780
dallas,5790
dallas,5800
dallas,5810
dallas,5820
dallas,5830
dallas,5840
dallas,5850
dallas,5860
dallas,5870
dallas,5880
dallas,5890
dallas,5900
dallas,5910
dallas,5920
dallas,5930
dallas,5940
dallas,5950
dallas,5960
dallas,5970
dallas,5980
dallas,5990
